[13:25]   ID为30 的顾客结束理发并离开了理发店 {到达时间=12:35, 离开时间=13:25, 理发所需时间=36min}
[13:25]   ID为34 的顾客开始理发
[13:25]   ID为35 的顾客进入了理发店
[13:32]   ID为33 的顾客结束理发并离开了理发店 {到达时间=12:58, 离开时间=13:32, 理发所需时间=15min}
[13:32]   ID为35 的顾客开始理发
[13:32]   ID为36 的顾客进入了理发店
[13:40]   ID为37 的顾客进入了理发店
[13:43]   ID为32 的顾客结束理发并离开了理发店 {到达时间=12:50, 离开时间=13:43, 理发所需时间=36min}
[13:43]   ID为36 的顾客开始理发
[13:49]   ID为38 的顾客进入了理发店
[13:59]   ID为35 的顾客结束理发并离开了理发店 {到达时间=13:25, 离开时间=13:59, 理发所需时间=27min}
[13:59]   ID为37 的顾客开始理发
[13:59]   ID为39 的顾客进入了理发店
[14:02]   ID为34 的顾客结束理发并离开了理发店 {到达时间=13:11, 离开时间=14:02, 理发所需时间=37min}
[14:02]   ID为38 的顾客开始理发
[14:08]   ID为40 的顾客进入了理发店
[14:15]   ID为36 的顾客结束理发并离开了理发店 {到达时间=13:32, 离开时间=14:15, 理发所需时间=32min}
[14:15]   ID为39 的顾客开始理发
[14:17]   ID为37 的顾客结束理发并离开了理发店 {到达时间=13:40, 离开时间=14:17, 理发所需时间=18min}
[14:17]   ID为40 的顾客开始理发
[14:21]   ID为41 的顾客进入了理发店
[14:31]   ID为38 的顾客结束理发并离开了理发店 {到达时间=13:49, 离开时间=14:31, 理发所需时间=29min}
[14:31]   ID为41 的顾客开始理发
[14:31]   ID为42 的顾客进入了理发店
[14:39]   ID为39 的顾客结束理发并离开了理发店 {到达时间=13:59, 离开时间=14:39, 理发所需时间=24min}
[14:39]   ID为42 的顾客开始理发
[14:43]   ID为43 的顾客进入了理发店
[14:49]   ID为41 的顾客结束理发并离开了理发店 {到达时间=14:21, 离开时间=14:49, 理发所需时间=18min}
[14:49]   ID为43 的顾客开始理发
[14:56]   ID为40 的顾客结束理发并离开了理发店 {到达时间=14:08, 离开时间=14:56, 理发所需时间=39min}
[14:57]   ID为44 的顾客进入了理发店
[14:57]   ID为44 的顾客开始理发
[15:03]   ID为45 的顾客进入了理发店
[15:12]   ID为46 的顾客进入了理发店
[15:15]   ID为44 的顾客结束理发并离开了理发店 {到达时间=14:57, 离开时间=15:15, 理发所需时间=18min}
[15:15]   ID为45 的顾客开始理发
[15:17]   ID为42 的顾客结束理发并离开了理发店 {到达时间=14:31, 离开时间=15:17, 理发所需时间=38min}
[15:17]   ID为46 的顾客开始理发
[15:21]   ID为43 的顾客结束理发并离开了理发店 {到达时间=14:43, 离开时间=15:21, 理发所需时间=32min}
[15:25]   ID为47 的顾客进入了理发店
[15:25]   ID为47 的顾客开始理发
[15:30]   ID为48 的顾客进入了理发店
[15:31]   ID为45 的顾客结束理发并离开了理发店 {到达时间=15:03, 离开时间=15:31, 理发所需时间=16min}
[15:31]   ID为48 的顾客开始理发
[15:37]   ID为46 的顾客结束理发并离开了理发店 {到达时间=15:12, 离开时间=15:37, 理发所需时间=20min}
[15:39]   ID为49 的顾客进入了理发店
[15:39]   ID为49 的顾客开始理发
[15:46]   ID为50 的顾客进入了理发店
[15:57]   ID为51 的顾客进入了理发店
[16:00]   ID为47 的顾客结束理发并离开了理发店 {到达时间=15:25, 离开时间=16:00, 理发所需时间=35min}
[16:00]   ID为50 的顾客开始理发
[16:04]   ID为52 的顾客进入了理发店
[16:08]   ID为48 的顾客结束理发并离开了理发店 {到达时间=15:30, 离开时间=16:08, 理发所需时间=37min}
[16:08]   ID为51 的顾客开始理发
[16:11]   ID为53 的顾客进入了理发店
[16:15]   ID为49 的顾客结束理发并离开了理发店 {到达时间=15:39, 离开时间=16:15, 理发所需时间=36min}
[16:15]   ID为52 的顾客开始理发
[16:21]   ID为54 的顾客进入了理发店
[16:24]   ID为50 的顾客结束理发并离开了理发店 {到达时间=15:46, 离开时间=16:24, 理发所需时间=24min}
[16:24]   ID为53 的顾客开始理发
[16:27]   ID为55 的顾客进入了理发店
[16:37]   ID为52 的顾客结束理发并离开了理发店 {到达时间=16:04, 离开时间=16:37, 理发所需时间=22min}
[16:37]   ID为54 的顾客开始理发
[16:40]   ID为56 的顾客进入了理发店
[16:43]   ID为53 的顾客结束理发并离开了理发店 {到达时间=16:11, 离开时间=16:43, 理发所需时间=19min}
[16:43]   ID为55 的顾客开始理发
[16:44]   ID为51 的顾客结束理发并离开了理发店 {到达时间=15:57, 离开时间=16:44, 理发所需时间=36min}
[16:44]   ID为56 的顾客开始理发
[16:45]   ID为57 的顾客进入了理发店
[16:52]   ID为58 的顾客进入了理发店
[16:57]   ID为54 的顾客结束理发并离开了理发店 {到达时间=16:21, 离开时间=16:57, 理发所需时间=20min}
[16:57]   ID为57 的顾客开始理发
[17:03]   ID为59 的顾客进入了理发店
[17:08]   ID为55 的顾客结束理发并离开了理发店 {到达时间=16:27, 离开时间=17:08, 理发所需时间=25min}
[17:08]   ID为58 的顾客开始理发
[17:12]   ID为56 的顾客结束理发并离开了理发店 {到达时间=16:40, 离开时间=17:12, 理发所需时间=28min}
[17:12]   ID为59 的顾客开始理发
[17:12]   ID为60 的顾客进入了理发店
[17:17]   ID为61 的顾客进入了理发店
[17:23]   ID为58 的顾客结束理发并离开了理发店 {到达时间=16:52, 离开时间=17:23, 理发所需时间=15min}
[17:23]   ID为60 的顾客开始理发
[17:23]   ID为62 的顾客进入了理发店
[17:28]   ID为57 的顾客结束理发并离开了理发店 {到达时间=16:45, 离开时间=17:28, 理发所需时间=31min}
[17:28]   ID为61 的顾客开始理发
[17:37]   ID为63 的顾客进入了理发店
[17:44]   ID为59 的顾客结束理发并离开了理发店 {到达时间=17:03, 离开时间=17:44, 理发所需时间=32min}
[17:44]   ID为62 的顾客开始理发
[17:46]   ID为64 的顾客进入了理发店
[17:49]   ID为61 的顾客结束理发并离开了理发店 {到达时间=17:17, 离开时间=17:49, 理发所需时间=21min}
[17:49]   ID为63 的顾客开始理发
[17:50]   ID为60 的顾客结束理发并离开了理发店 {到达时间=17:12, 离开时间=17:50, 理发所需时间=27min}
[17:50]   ID为64 的顾客开始理发
[17:58]   ID为65 的顾客进入了理发店
[18:06]   ID为63 的顾客结束理发并离开了理发店 {到达时间=17:37, 离开时间=18:06, 理发所需时间=17min}
[18:06]   ID为65 的顾客开始理发
[18:06]   ID为66 的顾客进入了理发店
[18:14]   ID为67 的顾客进入了理发店
[18:18]   ID为62 的顾客结束理发并离开了理发店 {到达时间=17:23, 离开时间=18:18, 理发所需时间=34min}
[18:18]   ID为66 的顾客开始理发
[18:21]   ID为64 的顾客结束理发并离开了理发店 {到达时间=17:46, 离开时间=18:21, 理发所需时间=31min}
[18:21]   ID为67 的顾客开始理发
[18:22]   ID为65 的顾客结束理发并离开了理发店 {到达时间=17:58, 离开时间=18:22, 理发所需时间=16min}
[18:26]   ID为68 的顾客进入了理发店
[18:26]   ID为68 的顾客开始理发
[18:35]   ID为69 的顾客进入了理发店
[18:40]   ID为67 的顾客结束理发并离开了理发店 {到达时间=18:14, 离开时间=18:40, 理发所需时间=19min}
[18:40]   ID为69 的顾客开始理发
[18:41]   ID为70 的顾客进入了理发店
[18:42]   ID为66 的顾客结束理发并离开了理发店 {到达时间=18:06, 离开时间=18:42, 理发所需时间=24min}
[18:42]   ID为70 的顾客开始理发
[18:50]   ID为71 的顾客进入了理发店
[19:02]   ID为72 的顾客进入了理发店
[19:05]   ID为68 的顾客结束理发并离开了理发店 {到达时间=18:26, 离开时间=19:05, 理发所需时间=39min}
[19:05]   ID为71 的顾客开始理发
[19:08]   ID为69 的顾客结束理发并离开了理发店 {到达时间=18:35, 离开时间=19:08, 理发所需时间=28min}
[19:08]   ID为70 的顾客结束理发并离开了理发店 {到达时间=18:41, 离开时间=19:08, 理发所需时间=26min}
[19:08]   ID为72 的顾客开始理发
[19:12]   ID为73 的顾客进入了理发店
[19:12]   ID为73 的顾客开始理发
[19:20]   ID为74 的顾客进入了理发店
[19:31]   ID为72 的顾客结束理发并离开了理发店 {到达时间=19:02, 离开时间=19:31, 理发所需时间=23min}
[19:31]   ID为74 的顾客开始理发
[19:34]   ID为73 的顾客结束理发并离开了理发店 {到达时间=19:12, 离开时间=19:34, 理发所需时间=22min}
[19:34]   ID为75 的顾客进入了理发店
[19:34]   ID为75 的顾客开始理发
[19:39]   ID为71 的顾客结束理发并离开了理发店 {到达时间=18:50, 离开时间=19:39, 理发所需时间=34min}
[19:46]   ID为76 的顾客进入了理发店
[19:46]   ID为76 的顾客开始理发
[19:53]   ID为77 的顾客进入了理发店
[19:57]   ID为74 的顾客结束理发并离开了理发店 {到达时间=19:20, 离开时间=19:57, 理发所需时间=26min}
[19:57]   ID为77 的顾客开始理发
[19:58]   ID为78 的顾客进入了理发店
[20:05]   ID为75 的顾客结束理发并离开了理发店 {到达时间=19:34, 离开时间=20:05, 理发所需时间=31min}
[20:05]   ID为78 的顾客开始理发
[20:22]   ID为76 的顾客结束理发并离开了理发店 {到达时间=19:46, 离开时间=20:22, 理发所需时间=36min}
[20:27]   ID为77 的顾客结束理发并离开了理发店 {到达时间=19:53, 离开时间=20:27, 理发所需时间=30min}
[20:33]   ID为78 的顾客结束理发并离开了理发店 {到达时间=19:58, 离开时间=20:33, 理发所需时间=28min}
[20:33]   理发店结束营业
